ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,InsuranceValidity,RTO,Mileage,Color,EngineType,Displacement,NoofCylinder,FuelSuppySystem,TurboCharger,SuperCharger,GearBox,DriveType, SeatingCapacity,SteeringType,FrontBrakeType,RearBrakeType,TyreType,NoDoorNumbers,city
Petrol,Hatchback,10000,Manual,1,Tata,Tata Altroz,2020,XZ BSVI,735000,Third Party insurance,WB20,19.33,Others,1.2 l Revotron,1199,3,Direct Injection,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Kolkata
Diesel,SUV,50000,Manual,1,Hyundai,Hyundai Creta,2018,1.6 CRDi SX Option,1200000,Third Party insurance,WB02,19.67,Others,U2 CRDI VGT Engine,1582,4,CRDi,Yes,No,6,FWD,5,Power,Disc,Drum,Tubeless,5,Kolkata
Petrol,Hatchback,60000,Manual,3,Maruti,Maruti Zen Estilo,2011,LXI,145000,Third Party insurance,WB02,19.0,Red,K Series Petrol Engine,998,3,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",5,Kolkata
Petrol,Hatchback,60000,Manual,3,Maruti,Maruti Celerio,2017,ZXI,350000,Third Party insurance,WB02,23.1,Others,K10B Engine,998,3,MPFi,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",5,Kolkata
Diesel,SUV,34000,Automatic,1,Audi,Audi Q5,2014,2.0 TDI Premium Plus,1950000,Comprehensive,WB02,14.16,Brown,TDI Quattro Engine ,1968,4,CRDI,Yes,No,7,AWD,5,Power,Ventilated Disc,Disc,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,60000,Manual,1,Maruti,Maruti A-Star,2012,Vxi,300000,Third Party insurance,WB36,19.0,Others,K Series Petrol Engine,998,3,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Sedan,56766,Manual,3,Toyota,Toyota Corolla Altis,2013,1.8 J,399000,Third Party insurance,WB02,14.53,Blue,2ZR-FE Gasoline 4Cylinder,1798,4,EFI(Electronic Fuel Injection),No,No,6,FWD,5,Power,Ventilated Disc,Solid Disc ,"Tubeless,Radial",4,Kolkata
Diesel,SUV,7114,Automatic,1,Tata,Tata New Safari,2022,XZA Plus 6 Str AT BSVI,2109000,Third Party,WB02,14.08,Blue,Kryotec 2.0 L Turbocharged Engine,1956,4,EFI(Electronic Fuel Injection),Yes,No,6,FWD,6,Power,Disc,Disc,"Tubeless, Radial",5,Kolkata
Diesel,SUV,25508,Automatic,1,Tata,Tata New Safari,2021,XZA Plus 6 Str AT BSVI,2000000,Comprehensive,WB26,14.08,Sky Blue,Kryotec 2.0 L Turbocharged Engine,1956,4,EFI(Electronic Fuel Injection),Yes,No,6,FWD,6,Power,Disc,Disc,"Tubeless, Radial",5,Kolkata
Petrol,Hatchback,39369,Manual,1,Maruti,Maruti Wagon R,2012,LXI BS IV,217000,Comprehensive,WB12,18.9,Silver,K Series Petrol Engine,998,3,MPFI,No,No,5,FWD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",4,Kolkata
